label,text
benign, aplusmathcom creates flashcards and worksheets for
benign,FW: Positions can you confirm when we get it original message from kdavismanfinancialcomenron sent friday november pm to jarnoldenroncom cc wesnersoong sarah deffner joseph subject re positions the money is en route now thanks for all your help kevin original message from davis kevin ldn int sent friday november pm to jarnoldenroncom cc sarahwesnerenroncom josephdeffnerenroncom subject positions dear john in place of the original transfer of options that we sent you yesterday i propose the following transfer instead you will note that it includes no options at all short may futures please understand that this entire affair is making me as uncomfortable as it is clearly making you kind regards kevin r davis
benign,RE: CA Instrate Gas matters please add the following names to the mailing list mike grigsby frank ermis keith holst matt smith janie tholt original message from lawner leslie sent friday july am to allen phillip k kingerski harry kaufman paul tycholiz barry miller stephanie ponce roger black don hewitt jess shireman kristann courtney mark elliott chris dasovich jeff becky mccabe fulton donna steffes darla stoness scott johnson tamara cc nicolay christi subject ca instrate gas matters this is to quickly summarize our call on july on california gas intrastate matters and set a direction for future activity unbundling pge has a gas accord in effect through which is generally positive we will participate in the development of a successor plan and attempt to improve it if we can socalgas attempted its own version of a gas accord but the cpuc refused to approve we will attempt to resurrect this accord and obtain cpuc approval hedging no proceeding currently exists to address gas hedging by ldcs draft legislation does exist on the electric side to allow hedging and passthrough of costs jeff has recommended that we approach the ldcs to begin discussing the issue and developing a strategy to take to the cpuc i suggest we develop an enaees hedging proposal for ca and then take that to the ldcs i will attempt to put this is writing infrastructure cpuc has undertaken a proceeding to determine the need to improve infrastructure socal gas and pge are responding with proposals we want to revitalize the infrastructure and ensure real markets exist and can develop our task is to participate in these proceedings please let me know who i left off the mailing list
benign,Re: NY hotels got tix for tonight
benign,Fedex john good morning per our conversation yesterday you had noted that john pattillo would be getting back to you with his decision as to how he would approach fedex with an enron counteroffer any news on this also thanks for leaving voicemailemail messages to keep me in the loop regarding a john pattillos decision b carmens feedback by close of business monday c what you finally decide to do before leaving for the holidays d if you follow up on george wasaffs offer to fly to memphis next week if necessary and e if you need to pull back on enrons contracts with fedex appreciate it sarahjoy
benign,Your player is out of date - Upgrade FREE! for emailing list removal information see bottom of email your player is out of date upgrade free image image image try the new realone for free get enhanced audio and video builtin web browser enhanced features exclusive programming and more try realone now image image new software features like theater and toolbar mode cross fade and band graphic eq image image record mix and burn cds quickly and easily image image builtin media browser helps you quickly search and play image image get access to our exclusive news sports and entertainment programming image image free upgrade image image image image image image image image you are receiving this email because you downloaded realplayer or realjukebox from realcom and indicated a preference to receive product news updates and special offers from realnetworks if you do not wish to receive emails from us in the future click on the remove me link below remove me privacy policy image realnetworks realone realplayer realjukebox and realcom are trademarks or registered trademarks of realnetworks inc all other companies or products listed herein are trademarks or registered trademarks of their respective owners image
benign,"FW: Kona  swap agreements and letter of credit NECESSARY INCLUSIONS
 LIST"" s i will be forwarding an email to you from kona which has as attachments what i want you to verify as all outstanding swap and options transactionsi hope that you can do this in the next few days also i have spoken to bjorn about what he needshe wants a bullet point list of the types of provisions he should always expect to see in an incoming letter of credit i volunteered that you would do a rough comparison of our approved forms for my reviewi forgot to say that what i am looking for is those provisions which are on all or substantially all of our formssee me please if you have any questions before starting this listi do not expect this to be a major undertaking and i am available to consult thanks bng original message from houkonaaolcom mailtohoukonaaolcom sent wednesday march am to gray barbara n subject kona letter of credit barbara attached hereto is a spreadsheet sent to us by george gilbert former enron trader now with ubs calculating konas losses in certain hedging contracts with ena this spreadsheet was the basis of our claim in the bankruptcy proceeding i hope that this will expedite getting are lc back thank you for your time and assistance in this matter regards ryan youngblood kona ltd n sam houston pkwy e suite houston tx p f"
benign,DVDs for as low as $9.49 each! dear john its time to stock up on great titles from movies you love at a price youll adore youll find terrific prices on many of your favorite dvd titles for as low as right now at buycom from dvd gift sets and hot preorders to new releases under and dvds under we have it all dvd gift sets the sopranos the complete second season click here for our low price the best of friends vol click here for our low price dirty harry collection buycom price for more info about this dvd set click here sex the city the complete second season buycom price click here to find out more about this release new releases under swordfish click here for our super low price empire of the sun click here for our low price cats dogs buycom price click here for more info about this release osmosis jones click here for our amazingly low price hot preorders order today rush hour buycom price learn more about this dvd by clicking here american outlaws buycom price click here to find out more about this release hedwig and the angry itch for more info about this title click here summer catch buycom price dvds under the matrix revisited buycom price for more details about this movie click here boiler room buycom price for more information about this title click here rush hour buycom price click here for more details about this release austin powers the spy who shagged me buycom price for more details about this movie click here dvds under cannonball run buycom price for more info about this title click here excalibur buycom price for more info about this release click here south park christmas in south park buycom price click here for more info about this title above the law buycom price to read more about this movie click here as always we thank you for choosing buycom robert r price president buycom in addition to electronics buycom also offers topoftheline computers bestselling books videos software and much more check out these stores computers software electronics wireless books music games video dvd clearance anytime help please use the link below for your customer support questions please do not reply to the buycom email address it is not an active mailbox click here all prices and product availability subject to change without notice unless noted prices do not include shipping and applicable sales taxes product quantities limited list price refers to manufacturers suggested retail price and may be different than actual selling prices in your area please visit us at buycom or the links above for more information including latest pricing availability and restrictions on each offer buycom and the internet superstore are trademarks of buycom inc buycom inc all rights reserved we respect your privacy if you would rather not receive email alerting you of buycom special offers product announcements and other news just let us know by clicking here
benign,FW: Terminating Trades original message from st clair carol sent tuesday december pm to calger christopher f cc sacks edward arnold john subject re terminating trades chris today we received a letter from them how and when do you want to respond to this has anyone called them carol st clair eb phone fax cell phone pager home fax carolstclairenroncom original message from calger christopher f sent monday december pm to st clair carol cc sacks edward arnold john subject re terminating trades ed sacks has the list with respect to csfb it sounds like we have a dispute trades my understanding can get done verbally and then confirmed it sounds like we should pull the tapes we should also think of whether the deal agreed to friday is currently in or out of the money ed could you look into this original message from st clair carol sent monday december pm to calger christopher f cc rohauer tanya subject terminating trades chris we need to come up with a list of trades that we terminated last friday so that we can take them out of our books do you have that list also i spoke with dutch this morning because csfb left me a message yesterday after we filed claiming that the friday trade was not effective i disagree even though a confirm has not been signed how do you want to handle this carol st clair eb phone fax cell phone pager home fax carolstclairenroncom
benign,RE: West Gas Headcount faith two changes need to be made to the list first jason wolfe is a trading track analyst on the west desk second matt lenhart should be an associate as his duties and responsibilities are identical to monique s jay r and randy g i dont know if this change can be made administatively or if i need to bring this up during prc please let me know phillip original message from killen faith sent wednesday june am to tycholiz barry allen phillip k subject west gas headcount importance high john lavarato has requested the attached report he is still a bit concerned about the proper classification of employees within the various titles if you would please review this list of employees and advise me of any changes by the end of day tomorrow if possible if you have any questions please contact me at x file may ngwestxls
benign,Confirmation of 10/26 meeting phillip this message is to confirm our meeting with you on friday october th from am am in conference room c ac attendees from our team will include mery brown and laura de la torre please let me know if you have further questions at thank you laura de la torre accenture resources houston texas direct dial octel this message is for the designated recipient only and may contain privileged or confidential information if you have received it in error please notify the sender immediately and delete the original any other use of the email by you is prohibited
benign, jeanie please change janie tholts ranking to a
benign,Power Confirmations kerri as discussed set forth below is the list of the second tier group of nonterminated top ten counterparties where enron is inthemoney first determine where if applicable in your respective confirm world whether the appropriate enron affiliate has a i physical power or ii financial power relationship with each of the counterparties listed if so please furnish a listing that evidences the following requests live deals as of november expired deals since november new deals since november also please furnish a hard copy of all live confirmations under request above many thanks second tier group heres the second tier of counterparties to add to the data retrieval list medianews group inc macromedia incorporated british airways plc merced irrigation district eugene water electric board johns manville international inc public service company of colorado james hardie australia finance pty ltd knightridder inc airtran holdings inc cordially susan s bailey enron north america corp smith street suite a houston texas phone fax email susanbaileyenroncom
benign,Warehouse Numbers get warehouses setup for elliot at harvey la assigned to cnjeff arnoldougcooenron updated by cnjeff arnoldougcooenron
benign,CAISO Notice - Ten Minute Settlements Implementation September 1 market participants sc settlements contacts after the minute settlement market simulation conference call on friday august market participants concerns of readiness were brought before the iso officers the officers discussed these concerns as well as the two previous delays june and august in implementing ten minute settlements weighing all of these issues the iso believes that there is a compelling need to put a pricing structure in place to realize a substantial saving in real time energy costs therefore the iso has decided to continue with the ten minute settlement implementation date of september nancy traweek director market operations byron woertz director client relations
benign, hello bill perkins of small ventures usa is having a party this saturday at the mercantile bar downtown he has rented out the place has a band open bar usually pretty fun he asked me to give both of you an invite in appreciation of the work youve done for him if you have interest ccmail me with whether you need one or two invites each john
benign,Expense phillip i think i still owe someone for that awesome video we made how much and who thanks don
